date,nav,spot,prem_mid,opt_cost,payoff,hedge_pnl,hedge_cost,liab,short_notional,net_delta_units,n_sold,n_skipped,atm_2d,atm_5d,stress_-10%,stress_-5%,stress_+3%,stress_+5%,stress_+8%,stress_+12%,ret,real_hourly
2019-02-20,229.036,2784.7,0.0860487,0.00284429,0,0.036012,0.00257008,0.204026,895.83,0,40,0,0.0982818,0.10317,-1.76694,-0.847125,-4.17759,-11.1278,-22.0504,-36.8727,0.000594268,False
2019-02-21,229.048,2774.88,0.0972827,0.00313831,0,-0.108668,0.00196357,0.175291,892.135,0,40,0,0.107909,0.113386,-1.28755,-0.614216,-2.83001,-9.51173,-20.5379,-35.4188,5.34747e-05,False
2019-02-22,229.305,2792.67,0.0808296,0.00271769,0,0.194288,0.00205167,0.188701,896.558,0,40,0,0.0900374,0.0946074,-1.68109,-0.806395,-4.21997,-11.3342,-22.2509,-37.14,0.00112176,False
2019-02-25,229.254,2796.11,0.0852969,0.0028208,0,-0.0995585,0.00578647,0.216891,896.605,0,40,0,0.0980332,0.102834,-1.82385,-0.873117,-4.19116,-11.2334,-22.1196,-36.9251,-0.000222669,False
2019-02-26,229.323,2793.9,0.089246,0.0029215,0,-0.0470821,0.002585,0.185248,895.265,0,40,0,0.101504,0.106475,-1.50403,-0.719729,-3.69155,-10.6593,-21.6357,-36.5207,0.000297926,False
2019-02-27,229.356,2792.38,0.0896788,0.00294875,0,-0.0737995,0.0020777,0.162397,894.343,0,40,0,0.0998161,0.10478,-1.29443,-0.61944,-3.32569,-10.2651,-21.2887,-36.2448,0.00014697,False
2019-02-28,229.378,2784.49,0.0938944,0.0030493,0,-0.074293,0.0017787,0.155628,892.2,0,40,0,0.102858,0.108079,-1.16101,-0.554202,-2.5381,-9.23567,-20.2703,-35.2142,9.39263e-05,False
2019-03-01,229.616,2803.69,0.0764108,0.00261022,0,0.192219,0.00294581,0.180725,897.876,0,40,0,0.0839183,0.0881777,-1.70148,-0.816852,-4.38286,-11.5483,-22.4698,-37.3716,0.00103749,False
2019-03-04,229.369,2792.81,0.082738,0.00275745,0,-0.350362,0.00692751,0.149797,894.467,0,40,0,0.0949855,0.0996374,-1.26003,-0.604185,-3.36097,-10.3984,-21.4165,-36.4184,-0.00107301,False
2019-03-05,229.429,2789.65,0.0857793,0.00284278,0,-0.0217834,0.00151353,0.150106,893.806,0,40,0,0.096594,0.101325,-1.22378,-0.586116,-3.18951,-10.1784,-21.2027,-36.193,0.000258666,False
2019-03-06,229.367,2771.45,0.10239,0.00328232,0,-0.14347,0.00200793,0.165827,889.574,0,40,0,0.114166,0.119843,-1.11145,-0.528103,-1.83558,-8.0647,-19.1022,-33.9238,-0.000270632,False
2019-03-07,229.264,2748.93,0.120127,0.00377315,0,-0.195021,0.00182092,0.187935,885.782,0,40,0,0.133745,0.140533,-1.05611,-0.498226,-1.01037,-5.81044,-16.7368,-31.3422,-0.000447306,False
2019-03-08,229.321,2743.07,0.107256,0.00341239,0,-0.0756178,0.00109138,0.157673,887.846,0,40,0,0.11869,0.124714,-0.988227,-0.46804,-1.20286,-6.1988,-17.1277,-31.881,0.00025035,False
2019-03-11,229.706,2783.3,0.0882421,0.00290907,0,0.554312,0.00391199,0.408611,901.078,0,40,0,0.0988797,0.103722,-3.07348,-1.45698,-3.94232,-10.674,-21.1564,-35.4778,0.00167797,False
2019-03-12,229.983,2791.52,0.083646,0.0027844,0.0461481,0.211259,0.00196966,0.375927,902.579,0,40,0,0.0957474,0.100437,-3.10829,-1.48158,-4.54954,-11.3252,-21.8643,-36.1921,0.00120453,False
2019-03-13,230.049,2810.92,0.0859895,0.0028351,0.117911,0.469851,0.0149083,0.729935,905.381,0,40,0,0.0977403,0.102601,-5.63551,-2.6701,-4.92525,-11.2877,-21.0676,-34.3658,0.00028775,False
2019-03-14,230.274,2808.48,0.0891617,0.00291597,0.0602378,-0.203134,0.00415048,0.323928,901.237,0,40,0,0.10043,0.105528,-2.83738,-1.35769,-4.35359,-11.1349,-21.7375,-36.1103,0.00097688,False
2019-03-15,230.594,2822.48,0.0790872,0.00268341,0.155744,0.307872,0.00175449,0.230443,902.678,0,40,0,0.0879977,0.0924642,-2.29936,-1.10626,-4.97212,-12.0397,-22.8058,-37.4666,0.00139079,False
2019-03-18,230.853,2832.94,0.0802272,0.00269403,0,0.224243,0.00474159,0.268179,903.738,0,40,0,0.0918532,0.0963517,-2.53576,-1.21757,-5.06745,-12.1033,-22.7972,-37.3533,0.00112448,False
2019-03-19,230.918,2832.57,0.0886785,0.00290153,0,-0.0500454,0.00578476,0.233956,902.172,0,40,0,0.100911,0.105854,-1.95282,-0.934664,-4.31854,-11.3018,-22.155,-36.8757,0.000277971,False
2019-03-20,230.888,2824.23,0.0934615,0.00302923,0,-0.182995,0.0032657,0.168089,899.324,0,40,0,0.104419,0.109612,-1.29008,-0.616757,-3.17104,-10.0108,-21.0406,-35.9495,-0.000129749,False
2019-03-21,230.85,2854.88,0.0975829,0.00313674,0,0.249238,0.00610567,0.543254,906.568,0,40,0,0.108492,0.113998,-3.94097,-1.86424,-4.68963,-11.3146,-21.5718,-35.4985,-0.00016279,False
2019-03-22,230.437,2800.71,0.127454,0.00396509,0,-0.873053,0.00664522,0.199837,891.248,0,40,0,0.143069,0.150331,-1.08016,-0.509159,-0.937721,-5.58492,-16.3127,-30.9409,-0.00178814,False
2019-03-25,230.534,2798.36,0.114326,0.00360896,0,-0.0441086,0.00096263,0.169013,893.119,0,40,0,0.127155,0.133383,-1.00098,-0.472499,-1.12405,-5.92226,-16.7364,-31.4546,0.000418638,False
2019-03-26,230.702,2818.46,0.0981202,0.00315503,0,0.121801,0.00240705,0.215059,900.201,0,40,0,0.110308,0.115711,-1.51779,-0.720956,-2.42819,-8.54686,-19.4073,-34.2031,0.000730102,False
2019-03-27,230.715,2805.37,0.110439,0.00349519,0,-0.109683,0.00224033,0.197552,897.777,0,40,0,0.122739,0.128844,-1.24717,-0.590946,-1.83977,-7.53317,-18.4534,-33.2005,5.42999e-05,False
2019-03-28,230.902,2815.44,0.103874,0.00330801,0,0.115423,0.00136178,0.224819,901.783,0,40,0,0.117039,0.122979,-1.51603,-0.719486,-2.63087,-9.05803,-19.9978,-34.7603,0.000812086,False
2019-03-29,231.195,2834.4,0.0889129,0.00290119,0,0.222245,0.00295559,0.237301,905.934,0,40,0,0.0995559,0.104609,-1.94513,-0.930449,-4.04328,-10.9613,-21.8106,-36.5797,0.00126815,False
2019-04-01,231.716,2867.19,0.076901,0.00261751,0.106249,0.949663,0.00637406,0.627479,912.674,0,40,0,0.0858425,0.0900466,-5.77881,-2.76169,-5.55804,-11.9804,-21.7774,-35.0884,0.00225414,False
2019-04-02,232.071,2867.24,0.0764918,0.00260906,0.0122712,-0.0252292,0.00384466,0.305029,909.732,0,40,0,0.0843187,0.0884482,-3.25069,-1.56488,-5.34682,-12.26,-22.7852,-37.0867,0.001532,False
2019-04-03,232.07,2873.4,0.0847827,0.00280502,0,-0.0631734,0.0121294,0.313076,908.58,0,40,0,0.0936791,0.0983379,-2.96559,-1.42373,-4.99227,-11.9272,-22.489,-36.8584,-5.91347e-06,False
2019-04-04,232.271,2879.39,0.0830815,0.00274763,0,0.0526328,0.00505847,0.239866,908.028,0,40,0,0.0922713,0.0969547,-2.23513,-1.07384,-4.82437,-11.8972,-22.6584,-37.3108,0.000866628,False
2019-04-05,232.626,2892.74,0.071915,0.00248998,0.0104299,0.254636,0.00256273,0.195971,910.291,0,40,0,0.077605,0.081544,-2.14159,-1.0321,-5.57601,-12.7726,-23.6254,-38.3746,0.00152823,False
2019-04-08,232.751,2895.77,0.0701714,0.00246015,0,0.0269073,0.00175428,0.163569,909.933,0,40,0,0.0784773,0.0823207,-1.76044,-0.848394,-5.41001,-12.6838,-23.6435,-38.5364,0.000538488,False
2019-04-09,232.665,2878.2,0.0818499,0.00272635,0,-0.194101,0.00250849,0.131677,904.637,0,40,0,0.0913326,0.0958747,-1.11542,-0.5352,-3.33925,-10.447,-21.4951,-36.524,-0.000367749,False
2019-04-10,232.796,2888.21,0.0779521,0.0026375,0,0.0869204,0.00130131,0.162246,907.731,0,40,0,0.0850839,0.0894024,-1.48691,-0.714059,-4.26239,-11.4969,-22.4623,-37.4077,0.00056031,False
2019-04-11,232.854,2888.32,0.0787423,0.00265739,0,-0.0183827,0.00252876,0.15941,907.933,0,40,0,0.0859744,0.0904642,-1.44891,-0.695803,-4.20231,-11.4379,-22.408,-37.365,0.000249186,False
2019-04-12,233.1,2907.41,0.0717751,0.00249781,0,0.275189,0.00501711,0.252238,913.006,0,40,0,0.0771864,0.0812173,-2.64911,-1.27441,-5.71462,-12.8161,-23.5381,-38.0905,0.00105912,False
2019-04-15,233.193,2905.58,0.0713576,0.00248101,0,-0.0651533,0.00287195,0.160356,911.412,0,40,0,0.0779757,0.0818535,-1.70448,-0.821175,-5.32574,-12.5976,-23.5754,-38.4858,0.000397827,False
2019-04-16,233.259,2907.06,0.07222,0.00248231,0,-0.00291672,0.00358106,0.157658,910.76,0,40,0,0.0804124,0.0844115,-1.59245,-0.766603,-5.0463,-12.3363,-23.309,-38.2448,0.000282761,False
2019-04-17,233.27,2900.45,0.0796179,0.00267887,0,-0.0760867,0.00404499,0.143165,908.496,0,40,0,0.0857638,0.0901168,-1.28855,-0.618871,-4.06989,-11.3174,-22.3204,-37.3243,4.84436e-05,False
2019-04-18,233.375,2905.03,0.0796275,0.00267273,0,0.0557713,0.00169451,0.169777,909.88,0,40,0,0.0859744,0.0904642,-1.53085,-0.735049,-4.29327,-11.5306,-22.4678,-37.3887,0.000447634,False
2019-04-22,233.513,2907.97,0.0726774,0.00251737,0,0.0415647,0.00112172,0.141611,910.948,0,40,0,0.0816096,0.0856064,-1.37996,-0.663567,-4.5741,-11.8667,-22.8901,-37.8983,0.000594618,False
2019-04-23,233.622,2933.68,0.0778125,0.00261698,0,0.388334,0.00842103,0.488274,917.085,0,40,0,0.0836414,0.0877377,-4.57546,-2.19016,-5.85795,-12.5668,-22.71,-36.4795,0.000464409,False
2019-04-24,233.77,2927.25,0.0849449,0.00279116,0,-0.151118,0.00469572,0.266934,913.705,0,40,0,0.0927766,0.0973905,-2.42401,-1.16313,-4.93381,-11.9378,-22.6659,-37.2331,0.000632134,False
2019-04-25,233.868,2926.17,0.0846074,0.0027774,0,-0.057829,0.00361853,0.188853,912.392,0,40,0,0.0936311,0.0983835,-1.67981,-0.806831,-4.30782,-11.3781,-22.2999,-37.1397,0.000421199,False
2019-04-26,234.048,2939.88,0.0790987,0.00265522,0,0.136639,0.00386423,0.217893,915.094,0,40,0,0.0869293,0.0913415,-2.09255,-1.00626,-4.8958,-12.0371,-22.8475,-37.5797,0.000770425,False
2019-04-29,234.229,2943.03,0.0745927,0.00253838,0,0.0536697,0.00135859,0.161136,915.023,0,40,0,0.0835568,0.0876489,-1.57326,-0.756679,-4.81215,-12.0482,-23.0331,-37.9786,0.000773866,False
2019-04-30,234.279,2945.83,0.075821,0.00257478,0,-0.0230712,0.00195776,0.159832,915.233,0,40,0,0.0837261,0.0878265,-1.54118,-0.741308,-4.80125,-12.0547,-23.044,-38.0024,0.000211423,False
