date,nav,spot,prem_mid,opt_cost,payoff,hedge_pnl,hedge_cost,liab,short_notional,net_delta_units,n_sold,n_skipped,ret,real_hourly
2023-03-09,254.566,3918.32,0.157855,0.00484291,0,-0.301992,0.00155312,0.206795,877.164,0,40,0,-0.000584227,False
2023-03-10,254.484,3861.59,0.162278,0.00497147,0,-0.241927,0.00125439,0.202809,874.251,0,40,0,-0.000321679,False
2023-03-13,254.368,3855.76,0.199013,0.00604568,0,-0.11398,0.00129592,0.396283,880.941,0,40,0,-0.000454971,False
2023-03-14,255.116,3919.29,0.14456,0.00445807,0,0.517247,0.00127344,0.30469,897.241,0,40,0,0.00293932,False
2023-03-15,254.995,3891.93,0.154841,0.00475109,0,-0.331898,0.00144783,0.241551,892.369,0,40,0,-0.000470832,False
2023-03-16,254.975,3960.28,0.156401,0.00479515,0,0.284328,0.00350469,0.694343,903.684,0,40,0,-7.98556e-05,False
2023-03-17,255.08,3916.64,0.146705,0.00452127,0,-0.510241,0.00197878,0.219483,891.792,0,40,0,0.000411116,False
2023-03-20,255.32,3951.57,0.136308,0.00421865,0,0.184679,0.000796147,0.29544,897.258,0,40,0,0.000940938,False
2023-03-21,255.691,4002.87,0.125296,0.00390791,0,0.439305,0.00225506,0.482683,904.289,0,40,0,0.00145385,False
2023-03-22,255.498,3936.97,0.131597,0.00409139,0,-0.627505,0.00431192,0.171052,889.349,0,40,0,-0.000753568,False
2023-03-23,255.502,3948.72,0.135957,0.00421525,0,-0.0513512,0.00273939,0.245116,892.814,0,40,0,1.4041e-05,False
2023-03-24,255.701,3970.99,0.128479,0.00399271,0,0.1255,0.00105543,0.295105,896.911,0,40,0,0.00077863,False
2023-03-27,255.917,3977.53,0.12126,0.00379713,0,0.0215211,0.00136738,0.217006,897.663,0,40,0,0.000843625,False
2023-03-28,255.97,3971.27,0.118269,0.00371017,0,-0.0941889,0.00117664,0.182778,896.2,0,40,0,0.000208743,False
2023-03-29,256.232,4027.81,0.111926,0.00352726,0,0.469523,0.00237184,0.496298,905.06,0,40,0,0.00102367,False
2023-03-30,256.702,4050.83,0.108833,0.00343406,0.0107323,0.389947,0.003065,0.508357,905.763,0,40,0,0.00183228,False
2023-03-31,256.905,4109.31,0.105756,0.00334225,0.506359,1.55469,0.00827339,1.44727,911.922,0,40,0,0.000792964,False
2023-04-03,257.605,4124.51,0.101387,0.00322164,0.400985,0.359196,0.00236333,0.80151,909.156,0,40,0,0.00272386,False
